"student.no","program","stats.exp","stats.anx","expected.grade","cat.dog","aus.animal","height","video.games","video.games.exp","introversion2","introversion5","introversion7","introversion8","introversion10","pre.mood","post.mood","support.1","support.2","support.3","support.4","support.5","stress.1","stress.2","stress.3","stress.4","stress.5","sleep1","sleep2","sleep3","sleep4","sleep5","sleep6","wayfinding1","wayfinding2","wayfinding3","wayfinding4","wayfinding5","wayfinding6","wayfinding7","wayfinding8","wayfinding9","wayfinding10","wayfinding11","wayfinding12","wayfinding13","wayfinding14","wayfinding15","wayfinding16","wayfinding17","wayfinding18","wayfinding19","wayfinding20","wayfinding21","wayfinding22","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51","rotation_time1","rotation_response1","rotation_time2","rotation_response2","rotation_time3","rotation_response3","rotation_time4","rotation_response4","rotation_time5","rotation_response5","ingroup1","ingroup2","ingroup3","ingroup4","outgroup1","outgroup2","outgroup3","outgroup4"
46404014,"Conversion MSc",5,3,100,"dog","koala",178,"No",1,2,4,1,3,5,73,70,3,5,6,6,6,2,2,3,2,2,4,4,1,1,1,2,6,7,5,2,5,7,6,3,3,4,2,3,4,5,2,7,7,7,5,6,6,7,6,4,5,6,6,4,6,7,7,1,7,5,7,3,6,4,5,5,5,5,5,3,4,5,1,0,6,0,3,5,5,4,2,4,4,2,5,5,3,2,4,4,5,5,5,2,3,4,4,4,3,5,2,2,2,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,241.4,"Correct",35679.2,"Incorrect",28898.5,"Correct",17562.5,"Incorrect",19319.8,"Correct",5,5,5,5,5,5,5,5
47532614,"Health MSc",8,2,80,"cat","platypus",174,"Yes",2,2,4,2,2,4,75,89,6,6,7,7,6,1,2,2,2,1,2,1,5,2,5,5,5,6,6,5,5,5,5,2,2,3,6,5,5,5,5,6,6,6,6,5,5,5,5,3,4,5,5,4,3,5,3,2,6,6,6,1,7,4,5,2,1,2,2,1,5,5,2,3,2,0,1,4,4,1,5,2,3,2,5,5,3,5,5,2,4,2,4,4,3,4,2,2,1,4,2,1,1,1,1,3,1,1,1,1,1,1,1,4,2,1,1,1,1,1,3,4,1,1,3,1,1,1,1,19833,"Correct",16821,"Incorrect",37920,"Correct",37106,"Correct",23753,"Correct",8,9,7,5,2,3,6,5
48040220,"Conversion MSc",6,3,60,"dog","kangaroo",167,"Yes",0,1,2,2,1,4,67,88,6,6,7,6,7,2,3,3,2,2,1,1,4,3,5,5,5,5,5,2,5,5,5,4,3,4,6,3,5,3,2,5,1,6,6,6,5,6,6,2,3,4,5,5,3,7,7,4,7,7,6,1,5,7,1,4,5,5,1,1,3,6,1,6,4,0,6,6,4,2,1,2,1,1,4,4,3,4,3,3,2,3,4,1,4,4,1,2,2,4,1,2,2,1,2,2,1,1,2,1,1,1,1,2,1,1,1,2,1,1,3,4,1,2,1,2,2,1,2,1498.6,"Correct",5565.2,"Incorrect",6931.1,"Correct",6247.8,"Correct",9499,"Incorrect",5,7,6,6,4,5,5,5
48599462,"Conversion MSc",4,7,70,"dog","wombat",159,"No",0,2,2,1,2,4,78,100,6,6,6,6,6,1,1,2,1,2,3,2,2,3,2,3,3,3,4,3,3,5,5,3,3,4,3,3,3,3,3,3,4,6,3,3,5,4,6,3,5,6,4,6,5,7,7,7,7,7,7,5,5,4,6,4,4,4,3,3,3,3,3,2,5,5,5,2,4,4,4,3,3,3,4,5,2,5,4,4,4,4,5,3,3,3,3,4,3,5,3,4,4,4,3,4,3,3,4,3,3,3,5,4,5,4,3,4,3,3,4,4,5,4,5,3,3,3,4,14587,"Correct",18138,"Correct",12470,"Correct",9019,"Correct",20370,"Incorrect",6,8,7,7,4,7,7,7
48690820,"Other Research MSc",2,7,90,"dog","koala",172,"No",0,2,2,4,2,4,73,94,7,7,7,6,7,2,1,4,2,2,2,1,2,3,5,5,2,1,1,1,1,1,1,7,7,6,7,7,6,7,3,1,2,2,3,1,5,2,6,6,5,6,6,6,6,7,3,2,7,4,6,1,5,5,6,6,0,3,3,1,6,6,1,1,3,1,0,0,4,2,3,4,1,3,4,5,3,2,2,1,2,4,4,2,1,1,5,4,4,5,1,1,3,1,1,1,2,3,2,3,2,4,2,2,3,1,3,4,2,1,4,3,3,3,1,4,2,1,1,7380,"Incorrect",11514.1,"Correct",3543.1,"Incorrect",3730.7,"Correct",7388,"Correct",5,8,6,3,4,5,5,6
51006665,"Health MSc",3,5,90,"dog","koala",162,"No",0,1,1,1,2,2,100,100,6,6,6,6,6,2,2,2,2,1,1,1,2,2,2,1,7,7,7,6,6,5,7,1,1,4,4,1,1,1,1,7,7,7,7,7,7,7,2,0,3,3,3,6,6,7,5,1,7,5,4,4,5,5,2,4,1,4,1,1,5,5,2,1,6,5,5,2,3,3,1,2,1,2,2,3,1,1,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,2,2,1,1,1,1,3,1,1,1,1,1,1,1,9955,"Incorrect",13999,"Incorrect",17320,"Correct",13359,"Correct",8818,"Correct",9,9,9,8,4,7,9,9
51253434,"Health MSc",6,7,68,"cat","kangaroo",167.64,"No",2,1,1,1,2,2,81,86,7,7,7,7,7,2,1,3,2,2,2,1,2,2,4,4,5,6,4,5,5,7,7,6,3,6,5,5,5,3,1,6,6,6,6,3,5,5,6,3,3,4,4,0,4,7,7,7,7,7,6,1,6,6,2,4,4,4,3,1,2,7,1,5,5,3,0,0,4,1,3,2,2,2,2,4,2,4,3,2,2,3,4,3,3,3,3,3,3,4,2,2,2,2,2,2,1,1,1,1,2,2,3,2,3,1,3,3,1,1,2,3,3,2,2,3,1,1,1,4051,"Incorrect",18355,"Incorrect",2666,"Incorrect",3702,"Incorrect",5133,"Incorrect",7,8,8,8,2,3,8,7
52263672,"Conversion MSc",2,8,90,"cat","koala",163,"No",0,2,5,1,1,5,75,100,7,7,5,3,7,0,1,1,2,2,1,1,2,1,2,2,3,3,2,2,2,2,2,7,6,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,5,1,6,5,5,7,7,7,7,7,5,1,7,7,5,5,5,5,3,1,6,5,3,6,6,0,6,2,5,5,3,3,5,5,5,5,5,5,3,1,3,2,5,2,4,4,4,4,5,5,5,2,5,1,1,4,1,2,4,1,2,4,4,4,4,4,4,3,1,4,2,2,4,3,3,4,3,4,3,10690.5,"Correct",17843.4,"Incorrect",23168.2,"Incorrect",18766.8,"Correct",24166.1,"Incorrect",6,9,9,9,9,8,4,6
52806756,"Other Research MSc",7,3,75,"dog","platypus",178,"No",0,2,2,1,1,2,86,93,7,7,7,7,7,1,0,2,1,1,2,1,3,2,4,4,6,6,3,5,6,6,6,3,2,5,7,5,6,5,2,5,6,6,7,2,6,6,2,1,1,4,3,1,5,6,4,2,6,3,3,1,5,6,3,6,4,5,3,2,6,6,1,3,5,4,6,0,4,1,1,2,2,1,1,4,1,5,1,2,3,1,4,1,1,1,2,1,2,3,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,1,1,1,32465,"Correct",5167,"Correct",45848,"Incorrect",13689,"Correct",28836,"Incorrect",6,8,4,7,3,6,5,6
52956901,"Other Research MSc",2,9,50,"dog","koala",164,"Yes",15,2,2,2,2,2,65,66,6,6,6,4,6,3,3,4,3,4,4,2,4,4,4,4,4,2,2,2,2,1,2,5,5,4,6,5,6,6,6,1,2,2,2,2,4,3,6,3,4,6,5,6,5,6,6,5,6,3,5,5,7,7,7,4,5,5,5,5,5,5,5,5,3,0,0,6,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,4,5,5,5,4,3,5,5,3,3,3,1,5,1,3,5,1,3,3,5,5,5,5,2,4,3,2,3,2,2,2,2,5,8739.1,"Incorrect",6642.7,"Correct",6566,"Incorrect",6535.9,"Correct",9285.1,"Incorrect",5,8,3,7,3,7,7,7
53197493,"Conversion MSc",1,7,62,"dog","koala",165,"No",0,2,2,3,3,2,77,69,7,7,7,7,7,1,0,3,1,2,4,4,5,3,4,1,5,6,6,3,4,5,5,5,2,1,2,1,3,2,1,5,4,6,6,7,5,5,6,3,4,5,5,6,3,7,7,7,7,7,7,7,7,7,5,5,5,6,6,5,5,6,5,6,6,0,2,1,4,4,2,5,3,3,4,5,3,4,5,5,5,3,5,2,1,3,4,5,5,5,4,2,5,4,2,2,2,2,4,2,2,5,3,4,4,5,3,3,2,2,4,4,4,3,2,4,3,2,3,7720.3,"Incorrect",12395.9,"Incorrect",16055.2,"Correct",14132.9,"Incorrect",5869.8,"Incorrect",7,8,8,6,3,7,6,8
53943668,"Conversion MSc",4,9,90,"cat","wombat",170,"No",0,3,2,2,2,2,71,83,6,6,6,6,6,1,2,1,2,1,1,1,1,1,4,4,7,7,6,6,5,6,7,7,4,2,4,1,4,1,1,6,6,7,6,7,4,5,3,0,0,0,3,3,3,7,5,3,7,4,7,2,7,4,7,5,2,5,4,4,4,4,4,0,4,0,0,0,4,5,5,3,3,3,1,5,2,5,5,3,5,5,5,4,1,4,4,5,3,3,3,1,5,2,1,1,1,4,5,2,1,4,1,4,2,3,4,1,1,1,3,3,2,3,4,4,1,1,2,192.8,"Incorrect",4526.3,"Incorrect",26709.6,"Incorrect",2392.8,"Correct",54176.3,"Incorrect",5,7,7,6,5,6,7,6
55974348,"Conversion MSc",1,5,72,"dog","kangaroo",163,"No",0,3,4,3,2,5,67,65,5,7,6,3,6,3,4,4,4,3,2,1,4,4,5,4,4,1,1,1,1,1,1,7,6,4,6,6,6,6,5,2,4,2,2,2,4,4,6,4,6,6,6,6,3,6,6,7,6,7,6,3,6,6,7,6,4,3,3,1,3,7,3,6,4,0,0,3,5,5,3,5,5,2,4,4,3,5,5,5,5,5,5,4,5,4,5,5,3,5,5,3,5,5,3,3,3,1,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5443.8,"Correct",32806.1,"Correct",8237.3,"Incorrect",5969.7,"Correct",9569.2,"Incorrect",4,5,7,7,5,5,5,6
56405529,"Conversion MSc",3,8,85,"dog","koala",157,"Yes",1,1,1,2,1,3,71,73,7,7,7,7,7,2,2,2,2,2,1,2,1,2,4,1,6,6,2,2,2,4,4,5,6,6,2,3,1,1,4,7,2,6,7,7,7,7,6,4,5,6,6,2,3,1,4,2,1,1,6,6,2,1,4,3,3,3,4,6,2,2,4,2,4,2,3,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,4,4,4,4,4,3,4,5,4,3,3,3,3,3,1,3,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2759.2,"Correct",6710.6,"Correct",2650.8,"Incorrect",3439,"Correct",2876.3,"Incorrect",5,5,3,3,2,5,5,5
56866390,"Other Research MSc",6,5,68,"cat","koala",175,"Yes",10,2,2,2,3,1,63,76,6,6,7,6,6,1,2,3,2,1,2,1,2,2,5,4,5,5,4,3,3,5,4,5,5,6,5,5,5,5,4,6,3,3,3,5,5,3,4,3,4,3,5,4,5,6,4,6,6,3,5,2,6,6,1,3,2,3,5,2,6,6,1,4,5,2,2,1,4,3,4,3,3,2,4,4,2,4,3,3,4,3,4,4,2,2,4,3,3,3,4,3,4,2,2,3,2,1,3,1,2,5,4,4,4,3,4,4,2,3,2,2,2,2,3,3,2,2,4,10031.2,"Correct",12089.1,"Correct",13802.9,"Incorrect",15638.2,"Correct",24232.4,"Correct",5,7,5,7,3,7,4,7
57622618,"Other Research MSc",2,9,60,"cat","koala",168,"Yes",20,4,2,2,3,5,63,56,6,7,4,2,6,3,1,4,3,4,5,5,5,5,5,5,5,2,5,1,1,2,3,5,3,1,5,6,7,3,5,1,1,1,1,2,1,2,6,1,6,5,6,5,6,6,6,7,7,6,6,4,4,7,5,0,2,3,2,2,3,6,1,6,2,6,0,6,5,5,1,5,5,5,5,5,5,5,5,2,5,4,5,1,5,3,2,5,5,5,1,5,5,2,1,1,1,1,5,4,1,1,1,2,4,2,4,1,1,1,3,1,1,3,2,5,1,1,5,3918.4,"Incorrect",6772.1,"Incorrect",3995.2,"Incorrect",4923.1,"Incorrect",2711.2,"Incorrect",6,9,5,8,2,7,4,3
59448002,"Conversion MSc",2,5,85,"dog","kangaroo",164,"No",2,1,3,3,3,3,100,100,4,4,7,7,2,2,2,2,2,1,2,1,1,1,2,2,4,7,5,4,7,4,4,4,5,3,5,3,3,3,1,5,3,5,5,7,5,5,5,3,4,6,5,4,3,7,5,1,7,7,6,4,7,7,7,6,5,3,3,2,5,5,5,3,6,2,0,3,3,3,1,3,3,2,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,3,2,1,4,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3434.2,"Correct",12310.8,"Incorrect",5362.6,"Incorrect",3533.9,"Correct",5194.9,"Incorrect",9,9,9,9,8,8,9,9
60367890,"Conversion MSc",6,7,70,"dog","koala",158,"Yes",10,2,2,3,2,2,84,93,7,7,6,6,7,2,3,4,3,2,3,2,4,4,4,4,6,7,7,6,6,7,6,2,2,6,5,3,5,3,2,7,6,7,6,6,6,6,5,3,4,6,5,6,5,6,5,4,7,5,5,5,5,6,5,5,2,2,5,5,6,6,5,2,4,1,0,2,5,2,3,2,3,4,2,5,4,5,3,4,3,2,4,2,3,2,2,3,1,1,2,2,2,3,3,3,2,1,3,1,3,4,3,4,4,2,4,2,3,2,4,4,4,1,1,4,2,2,2,33300,"Correct",18599.8,"Incorrect",10452.6,"Correct",13180.8,"Correct",16665.7,"Correct",6,8,5,7,4,6,8,6
61017614,"Conversion MSc",1,5,65,"dog","kangaroo",159,"No",0,2,3,3,1,2,73,71,5,6,6,5,5,3,2,4,2,2,5,5,4,4,5,3,7,7,6,4,7,4,5,5,5,3,5,4,2,3,5,5,7,6,5,5,6,3,6,3,5,6,6,4,5,7,7,4,7,5,6,3,7,7,7,1,3,3,5,4,7,7,6,1,3,0,0,5,5,5,4,4,2,2,4,5,3,4,4,4,4,3,5,4,5,4,4,4,4,4,4,4,4,3,3,3,2,1,2,1,4,2,3,3,3,2,4,3,4,3,3,4,4,4,2,4,3,3,3,31794.5,"Incorrect",19299.5,"Correct",22009.3,"Correct",25950,"Correct",16276.5,"Incorrect",7,8,8,7,3,7,4,3
62095637,"Conversion MSc",1,7,66,"cat","kangaroo",158,"Yes",0,2,3,2,5,4,87,93,5,6,6,6,4,0,1,2,2,2,3,2,1,1,5,4,6,7,5,1,1,5,7,1,1,5,2,1,1,1,1,7,6,6,5,7,6,4,6,4,4,5,0,0,4,1,7,7,7,1,2,6,6,7,1,3,1,6,1,1,7,7,1,0,6,0,0,0,5,5,5,5,5,5,4,5,3,5,5,4,5,5,5,5,1,1,2,5,5,5,2,3,2,3,4,4,2,1,2,1,2,3,4,4,1,1,5,5,5,3,1,4,5,4,3,5,4,5,4,35080,"Correct",20061,"Incorrect",770,"Incorrect",9115,"Correct",16984,"Correct",7,8,7,7,7,7,8,7
65023735,"Conversion MSc",1,7,79,"dog","koala",167,"No",1,2,4,4,3,4,32,33,3,4,5,3,5,2,2,3,2,2,3,3,2,2,5,5,3,5,5,2,2,4,4,5,5,4,4,4,4,4,4,2,2,5,3,2,5,4,5,1,1,4,3,3,0,7,7,7,7,6,2,2,2,2,2,3,3,4,7,7,7,7,7,0,4,0,1,0,4,4,2,3,2,3,3,4,4,4,3,3,4,4,4,3,4,4,3,3,3,4,3,1,4,1,1,1,1,1,4,1,1,2,2,2,2,3,3,2,2,2,2,2,1,3,1,4,2,2,3,11757,"Correct",12428,"Incorrect",12757,"Incorrect",11758,"Incorrect",52736,"Incorrect",4,6,5,6,4,6,6,6
66263190,"Conversion MSc",1,9,40,"dog","koala",165,"Yes",10,4,4,3,4,4,65,65,6,6,6,6,7,3,3,4,3,2,4,2,4,4,5,4,4,5,3,1,1,2,1,5,6,6,7,5,5,6,6,6,1,6,2,5,6,4,6,0,2,6,4,6,4,5,4,6,6,4,6,4,6,6,6,5,3,5,6,4,6,7,5,0,5,0,0,0,5,4,3,3,2,1,3,4,4,4,4,4,4,3,5,3,2,1,4,3,4,5,3,3,4,1,1,2,1,1,2,1,1,3,4,3,2,5,4,1,1,1,1,2,3,1,1,3,2,1,4,5103.3,"Incorrect",2937.3,"Correct",3406.1,"Correct",7518.6,"Incorrect",5283.5,"Incorrect",9,9,9,9,8,9,9,9
66850488,"Conversion MSc",6,6,63,"dog","wombat",183,"Yes",1,2,2,2,2,2,74,74,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,3,3,3,4,4,4,4,4,5,5,5,5,5,6,5,5,3,3,4,4,0,2,6,6,7,7,5,4,4,5,4,4,5,5,5,4,5,4,5,4,5,6,3,2,6,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,4,5,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,8273,"Incorrect",3288,"Correct",8140,"Incorrect",2655,"Correct",3721,"Incorrect",8,8,7,8,7,9,6,6
66930220,"Other Research MSc",5,5,89,"dog","koala",168,"No",0,1,2,2,1,2,59,47,6,5,7,7,4,2,1,3,1,1,4,2,3,4,3,2,6,7,7,6,5,6,7,1,1,1,1,1,1,1,1,7,6,6,7,7,7,7,6,2,3,6,6,6,6,7,7,1,7,7,7,7,7,7,7,6,6,6,1,1,1,1,1,6,6,3,1,6,3,1,1,3,2,1,2,3,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,1,2,1,2,1,3,1,2,3,1,1,1,1,1,1,1,1,1,1,1,43413.6,"Correct",34713.2,"Correct",7876.6,"Incorrect",24411.5,"Correct",1293.4,"Incorrect",3,4,2,3,1,2,2,2
69105677,"Other Research MSc",7,4,80,"dog","koala",170.18,"No",0,1,2,1,1,3,79,77,5,5,6,5,5,2,2,2,2,1,4,2,1,2,3,2,5,5,6,2,2,3,5,5,5,4,5,2,3,3,1,3,3,5,3,4,6,6,5,4,2,4,3,6,4,6,6,5,6,4,6,4,6,6,6,5,4,4,2,2,6,6,2,5,5,2,2,5,4,4,2,3,4,2,4,3,3,4,3,4,3,3,4,3,3,3,2,4,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,89374,"Incorrect",33052.4,"Incorrect",6472.6,"Correct",10074.5,"Incorrect",4436.6,"Correct",5,5,5,5,5,5,5,5
69260564,"Health MSc",5,2,80,"dog","echidna",183,"Yes",5,4,4,2,2,5,75,86,7,7,7,7,7,2,1,3,1,1,2,1,2,2,4,4,6,6,6,5,5,5,5,3,3,2,2,1,1,2,1,5,3,7,3,6,6,6,6,1,1,2,2,1,6,4,6,6,7,3,6,1,5,3,2,4,1,1,7,1,4,7,1,0,6,0,0,4,1,1,1,1,1,1,3,3,1,3,1,1,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,3,1,1,1,8542.4,"Correct",37811,"Correct",17726.9,"Correct",6169.9,"Correct",15793.3,"Correct",5,9,2,7,1,5,8,6
71703219,"Other Research MSc",7,4,70,"dog","kangaroo",167,"Yes",5,2,2,3,1,2,69,82,6,6,6,5,7,2,1,4,2,2,2,2,4,4,5,4,6,6,6,6,6,7,6,2,2,5,2,1,2,1,1,5,4,6,3,6,6,6,4,2,3,5,5,4,4,4,2,6,5,2,4,2,5,4,6,3,1,1,1,1,3,3,1,1,1,0,0,0,2,3,4,2,3,3,3,3,3,4,3,3,4,2,4,2,1,1,3,3,2,3,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,2,2,1,1,1,1,2,1,2,4637.7,"Incorrect",10681.3,"Correct",17428.5,"Incorrect",6837.3,"Correct",7799.4,"Incorrect",6,7,6,6,5,6,6,7
73923765,"Other Research MSc",2,8,70,"dog","wombat",160,"No",1,2,2,2,2,2,80,79,6,6,4,4,6,1,1,2,1,1,4,3,1,4,4,3,6,4,5,5,4,5,6,4,4,3,3,2,3,3,2,5,5,4,2,5,6,4,4,4,1,2,3,4,5,2,2,5,5,1,1,3,5,5,1,3,2,2,4,4,4,5,1,0,2,4,3,0,4,3,3,1,2,3,4,4,1,4,3,4,3,3,4,3,3,2,3,2,2,1,3,4,4,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,2,1,1,1,1,2,1,1,24560.5,"Correct",37872.2,"Correct",36247.8,"Incorrect",38373.8,"Correct",37228.3,"Correct",7,6,3,4,3,4,5,7
78442529,"Conversion MSc",1,1,80,"dog","koala",188,"Yes",6,2,4,2,3,4,79,85,6,6,6,6,6,1,1,1,1,1,1,1,1,2,2,1,7,7,7,6,6,5,6,1,2,2,5,2,2,2,1,7,7,7,7,7,2,7,6,5,6,6,6,6,6,6,6,2,6,4,5,2,5,2,6,5,5,4,1,1,1,1,1,5,5,2,6,3,2,2,1,2,2,2,4,2,1,2,4,2,2,2,2,1,4,1,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8730,"Correct",11136.7,"Incorrect",12244.6,"Incorrect",15949.6,"Incorrect",26473,"Incorrect",4,4,5,1,5,5,8,3
79028642,"Conversion MSc",4,5,78,"dog","platypus",161,"No",0,2,2,2,2,3,68,87,6,6,6,7,6,2,3,1,1,3,2,2,2,2,4,2,6,5,7,5,5,5,6,7,4,2,2,2,4,3,1,7,7,6,5,3,6,5,6,1,0,6,3,3,6,7,7,4,7,6,7,6,7,7,5,4,4,5,2,2,2,2,2,6,6,2,0,6,3,3,1,2,3,3,5,4,4,5,1,1,4,2,5,1,3,1,1,2,3,1,1,2,3,1,1,1,1,1,3,1,1,1,1,2,1,1,1,3,1,1,1,1,1,1,1,2,1,1,2,9531.3,"Correct",6318.7,"Incorrect",8558.5,"Incorrect",4499,"Correct",4825.7,"Incorrect",8,8,7,8,6,8,8,8
79946289,"Conversion MSc",3,1,64,"dog","kangaroo",167,"Yes",4,2,2,2,3,3,73,98,6,7,6,6,6,2,1,3,2,1,1,1,4,2,4,4,5,4,5,3,5,1,2,3,3,4,5,2,1,3,2,6,3,5,5,5,6,4,3,0,2,5,4,6,4,6,6,2,5,5,2,2,4,5,2,1,1,2,1,1,4,4,1,6,6,6,0,5,1,2,1,1,2,1,3,1,1,3,3,1,1,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,7783,"Correct",3966,"Correct",4251,"Incorrect",3461,"Incorrect",2128,"Correct",6,7,2,6,5,4,6,6
80869150,"Health MSc",4,6,70,"cat","koala",162,"No",0,2,2,2,1,2,71,77,6,6,6,5,5,1,1,1,1,0,1,1,1,2,5,4,6,6,6,2,4,6,6,2,2,4,3,3,2,5,2,6,2,5,5,6,4,5,5,2,2,3,4,3,4,7,5,4,5,3,5,1,6,5,4,5,4,5,1,1,1,1,1,3,4,0,0,2,4,3,2,3,1,3,4,5,1,3,4,4,3,4,4,2,2,1,4,3,2,4,3,3,4,2,2,1,1,1,4,1,2,4,1,3,1,2,3,1,1,2,3,3,1,3,1,4,1,1,2,10238,"Correct",4994,"Incorrect",5095,"Incorrect",11771,"Correct",7124,"Incorrect",8,8,5,6,4,5,7,6
82588321,"Conversion MSc",2,8,70,"dog","koala",162.5,"Yes",2,1,2,1,2,1,100,100,7,7,6,5,7,3,4,4,1,2,2,2,3,3,5,5,3,6,5,2,2,3,6,4,4,1,5,1,2,5,6,5,3,6,6,7,6,5,3,1,5,6,5,4,6,6,4,2,7,5,5,2,7,7,6,4,3,5,4,1,7,7,2,4,4,5,1,2,5,4,1,2,3,2,3,5,3,5,3,4,4,4,5,1,3,2,3,2,3,4,1,3,3,1,2,2,2,1,2,1,1,3,1,3,1,1,3,3,1,1,2,3,3,3,1,3,1,1,2,17336,"Incorrect",10929,"Incorrect",6341,"Incorrect",31920,"Incorrect",4453,"Incorrect",5,7,5,5,5,6,6,6
84441246,"Other Research MSc",1,9,60,"dog","koala",165.1,"No",0,4,5,4,5,4,65,99,7,7,7,7,7,4,4,4,4,4,4,3,5,5,5,5,1,1,2,1,1,1,1,7,7,7,7,7,7,7,7,5,1,1,1,1,1,1,6,6,6,6,6,6,6,4,2,6,4,2,1,4,1,1,1,6,0,2,1,1,1,1,1,0,0,0,0,0,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,3,3,1,1,1,5,1,2,2,1,2,3,3,4,2,2,2,4,2,4,4,2,4,3,3,5,2830,"Incorrect",18750.3,"Incorrect",6856.7,"Incorrect",3651.7,"Correct",4123.7,"Incorrect",5,7,2,5,1,2,2,4
89701915,"Health MSc",4,9,80,"cat","koala",164,"Yes",6,3,3,5,2,5,88,97,7,7,7,7,7,3,2,2,3,3,1,1,1,1,2,1,7,7,7,7,7,7,7,1,1,1,5,1,1,1,3,7,7,7,7,7,7,7,6,1,6,6,4,0,3,7,6,7,7,5,3,4,5,1,2,4,0,6,3,2,7,7,1,0,6,2,3,0,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1,1,1,4,1,1,2,1,1,4,4,5,1,1,1,1,1,5,1,1,5,1,1,1,6688,"Correct",19857,"Incorrect",10576,"Incorrect",5883,"Correct",22940,"Incorrect",9,9,5,6,7,6,9,9
93804416,"Health MSc",3,8,53,"dog","koala",160,"Yes",3,1,2,2,2,2,62,72,7,7,6,5,7,4,3,2,3,2,4,3,4,3,4,5,2,3,2,3,4,5,4,4,6,6,5,6,6,6,4,5,5,4,5,3,5,3,6,0,2,5,3,4,5,6,7,3,6,5,7,4,7,5,7,3,4,5,4,5,5,6,4,5,4,2,1,1,5,3,2,2,4,2,4,5,3,5,3,2,4,4,4,2,2,3,2,2,2,4,2,3,5,3,2,2,2,1,4,1,2,3,2,3,4,4,3,2,2,2,2,2,3,2,2,3,3,2,4,2967.2,"Incorrect",8286.1,"Correct",3539.8,"Incorrect",3507.8,"Correct",4215.5,"Incorrect",5,9,4,7,2,5,7,6
