"student.no","program","stats.exp","stats.anx","expected.grade","cat.dog","aus.animal","height","video.games","introversion2","introversion5","introversion7","introversion8","introversion10","pre.drink","post.drink","support.1","support.2","support.3","support.4","support.5","stress.1","stress.2","stress.3","stress.4","stress.5","sleep1","sleep2","sleep3","sleep4","sleep5","sleep6","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","navigation1","navigation2","navigation3","navigation4","navigation5","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51","rotation_time","rotation_response","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","male1","male2","male3","female1","female2","female3"
56599067,"Conversion MSc",3,3,75,"dog","koala",188,"Yes",4,4,4,5,4,15,15,7,7,6,4,7,1,3,3,4,2,5,4,5,5,5,5,3,3,-1,3,3,3,0,3,2,0,4,4,6,-3,-3,-3,-2,1,6,6,0,6,6,6,6,6,5,5,1,1,1,1,1,1,2,3,1,4,1,1,3,1,4,1,1,2,1,1,2,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,3,13.725,"C",4,2,1,4,3,3,2,5,6,4,6,7,6
57051197,"Other Research MSc",6,9,60,"both","platypus",160,"Yes",3,3,4,2,4,3,3,6,6,3,1,6,3,4,4,1,0,5,4,5,5,5,5,-1,1,2,0,-1,3,0,3,-2,1,2,0,1,3,3,3,3,2,0,4,0,2,4,5,6,3,5,2,5,3,5,5,4,2,4,5,3,5,3,5,4,4,5,2,4,4,1,3,5,3,2,3,5,5,4,3,2,3,5,2,4,5,1,1,4,5,5,5,5,4,5,3,2,4,5,4,4,3,4,8.751,"B",4,0,0,5,0,1,0,5,5,5,5,3,5
58483383,"Conversion MSc",2,4,73,"dog","platypus",182,"Yes",4,3,2,2,4,6,6,5,5,6,5,5,1,1,2,3,3,3,1,1,1,2,3,2,1,1,3,3,1,0,2,3,2,5,2,4,-3,1,1,1,1,0,5,1,1,0,5,2,1,2,2,3,2,1,1,2,3,1,2,2,3,2,3,2,1,2,1,2,1,2,3,3,1,2,2,3,2,1,2,2,2,2,1,2,2,1,4,2,1,5,1,1,1,4,3,2,4,4,4,1,1,3,12.832,"B",3,3,5,4,3,6,1,6,5,6,5,6,2
58955821,"Other Research MSc",8,2,82,"cat","wombat",5.1,"Yes",2,2,3,2,2,0,0,7,7,4,5,7,1,1,3,3,3,4,4,3,4,5,4,1,2,-2,1,1,2,-1,2,1,-1,4,2,3,1,2,-1,2,2,0,5,0,5,3,5,6,6,6,6,4,2,3,4,3,2,2,4,1,4,1,1,3,1,4,4,1,2,4,2,3,2,4,1,1,1,1,1,1,3,2,3,1,2,1,2,1,1,3,1,1,1,2,4,1,2,2,2,1,1,2,7.162,"C",5,6,4,3,4,2,6,6,7,4,4,5,5
60784870,"Health MSc",6,7,65,"dog","koala",172,"No",4,2,3,2,4,3,3,5,5,6,6,5,2,2,4,3,3,2,2,3,3,3,3,1,1,-1,1,1,1,0,2,1,0,5,5,4,1,1,0,1,1,6,5,6,6,6,4,3,3,5,4,4,4,3,4,4,2,4,4,2,5,3,3,4,3,5,3,3,1,3,4,4,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,2,2,2,2,4,2,2,4,3,2,2,16.049,"C",3,3,3,6,5,4,1,5,5,5,5,5,5
61664844,"Other Research MSc",5,7,66,"dog","kangaroo",180,"No",5,5,3,4,5,0,0,6,7,5,5,6,2,3,2,4,2,2,2,2,4,5,5,1,0,-1,1,0,1,0,1,1,0,4,3,1,-3,-1,-1,-1,-1,1,5,1,2,0,1,2,2,3,3,4,4,2,3,2,2,3,5,1,5,3,5,5,1,5,2,1,1,4,4,2,2,3,1,3,1,1,1,1,1,2,1,1,1,1,1,2,3,1,1,1,1,1,1,3,2,1,2,2,1,3,16.989,"A",6,0,4,6,4,3,5,5,7,9,5,3,2
63370442,"Conversion MSc",3,3,65,"cat","echidna",170,"Yes",4,3,2,3,4,10,20,6,6,7,6,6,3,3,4,2,1,2,2,5,4,5,5,1,-2,1,0,0,0,-3,-3,-2,-3,5,3,5,-3,-2,-2,-1,-1,0,0,0,0,0,5,2,2,5,2,2,2,2,2,2,3,4,3,4,3,2,2,4,2,1,3,3,3,4,2,2,2,4,1,3,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.437,"C",4,1,1,1,2,3,2,4,7,3,6,7,4
66598001,"Conversion MSc",2,6,51,"dog","kangaroo",180,"Yes",4,4,4,4,4,15,15,6,5,6,6,5,3,3,3,2,2,5,5,5,5,5,5,2,2,-1,2,2,2,0,2,1,0,6,6,6,0,1,0,1,1,3,6,0,6,0,5,5,5,5,5,3,4,2,3,4,3,4,2,3,2,3,4,2,5,2,2,3,2,2,4,3,2,2,2,3,2,2,3,2,2,2,3,2,2,3,3,4,4,2,2,2,2,3,3,3,3,2,2,2,2,4,17.655,"B",5,0,2,4,4,5,1,5,6,5,5,5,5
66978708,"Health MSc",5,9,75,"dog","platypus",150,"Yes",2,4,1,4,5,0,0,7,7,7,3,7,4,1,4,3,2,2,3,4,2,5,1,3,1,2,1,1,3,-1,3,3,-1,4,3,2,-1,-1,-3,1,3,6,6,6,3,0,6,5,2,4,7,5,2,1,5,2,4,5,5,5,5,1,1,5,3,5,1,2,1,1,4,1,3,1,1,4,1,1,1,1,1,4,1,1,3,1,1,1,3,4,1,1,1,4,1,1,1,1,1,1,1,2,137.042,"A",5,0,3,6,3,0,1,8,8,8,8,8,6
67787999,"Other Research MSc",2,7,67,"both","wombat",158,"No",4,4,2,4,3,2,2,7,7,7,7,7,2,2,3,3,3,2,1,2,2,3,3,1,1,-1,1,0,1,-3,0,2,-3,3,4,4,-1,-1,-3,1,2,0,6,4,0,0,4,3,3,3,3,2,3,3,3,3,3,3,3,2,4,3,3,4,4,4,2,2,3,2,4,3,3,2,4,4,2,2,3,2,2,2,2,3,2,3,2,3,2,3,3,2,2,3,3,3,3,2,3,2,2,3,23.463,"C",4,0,4,4,4,0,6,4,6,3,6,7,4
68327148,"Health MSc",6,7,70,"both","koala",170,"Yes",4,4,3,2,5,16,16,5,6,7,7,6,1,2,3,3,2,3,4,4,4,5,5,3,1,2,3,1,1,-3,1,-1,-3,5,2,3,3,2,-1,2,1,5,4,1,4,5,6,5,2,4,2,4,4,4,4,3,4,5,5,2,5,3,5,5,3,5,5,2,3,4,4,4,4,4,3,4,2,1,1,1,1,1,1,2,2,2,4,4,3,3,3,1,1,2,2,3,1,3,2,1,1,2,13.303,"C",5,5,4,6,4,6,6,4,7,5,3,3,4
69045914,"Health MSc",8,4,73,"dog","platypus",176.5,"No",5,4,4,5,4,NA,NA,7,7,6,5,7,2,3,3,3,3,4,2,5,4,5,5,3,3,-1,3,3,3,-1,3,3,3,4,2,4,-3,-1,-3,1,3,0,4,0,0,4,5,6,6,6,4,3,2,1,2,2,1,3,3,1,3,2,3,2,1,2,1,1,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11.014,"C",0,1,2,3,4,6,1,5,7,3,5,8,5
71121905,"Conversion MSc",1,9,50,"cat","wombat",159,"No",4,2,3,4,2,3,3,4,4,6,6,4,2,2,3,3,3,5,5,5,5,5,5,0,-1,-1,0,-1,2,0,2,2,2,5,0,3,2,2,-1,2,0,0,2,0,0,0,6,4,4,5,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,5,4,4,5,3,4,4,5,3,3,5,3,3,3,3,3,5,3,3,5,1,5,3,3,5,5,3,3,2,4,3,2,3,5,3,3,3,19.285,"C",4,2,3,3,5,2,3,5,6,5,4,4,5
71549852,"Other Research MSc",3,3,70,"dog","koala",158,"No",4,4,1,3,2,0,NA,6,3,6,4,2,2,3,4,1,2,1,1,1,1,5,5,1,1,-1,1,-1,-1,-1,1,1,-1,2,2,2,-1,-1,-1,-1,-1,0,2,0,0,0,5,4,4,7,4,2,3,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,3,1,2,1,3,2,3,3,3,4,2,3,2,3,3,3,2,3,3,3,3,3,3,3,2,3,3,2,2,2,3,3,7.337,"C",3,3,5,2,5,2,0,3,7,6,7,4,6
72579330,NA,4,7,61,"both","kangaroo",182,"Yes",3,5,2,2,5,20,20,6,7,1,1,7,2,3,4,2,1,1,1,3,3,5,5,1,-1,-1,1,-1,1,-3,1,1,-3,3,2,2,3,3,-1,1,0,4,2,2,2,4,4,2,4,3,3,3,2,5,2,2,2,2,3,2,5,3,2,5,2,4,5,2,5,5,2,3,5,5,2,4,1,2,1,1,3,3,3,1,3,1,2,1,4,2,2,1,2,4,3,1,1,1,3,2,1,2,16.423,"C",4,2,2,5,4,1,1,4,3,5,4,3,5
73141754,"Health MSc",3,9,85,"both","wombat",167,"Yes",4,4,4,4,2,0,NA,5,5,6,6,5,2,1,3,4,3,2,2,2,2,5,2,2,2,0,3,2,2,0,2,2,1,4,3,5,1,1,1,1,1,0,4,0,0,0,4,5,3,3,3,4,4,4,3,2,3,2,5,4,5,4,4,3,2,3,4,1,1,4,4,2,4,2,3,5,5,3,3,2,1,5,1,5,4,2,5,5,4,5,5,2,3,2,3,5,2,2,4,3,3,4,17.236,"A",3,1,4,2,3,6,6,4,4,4,5,5,5
73432871,"Conversion MSc",3,8,63,"dog","kangaroo",180,"Yes",5,3,5,3,4,NA,NA,6,7,7,6,6,2,2,2,4,4,5,1,1,1,3,3,3,3,-3,3,3,3,-3,3,3,-3,6,6,4,-3,-3,-3,-3,-3,2,6,2,2,6,7,7,7,7,7,5,1,1,2,2,4,4,4,1,3,4,3,2,3,2,1,1,1,1,1,4,3,3,3,5,5,5,5,3,1,2,1,5,1,3,5,2,3,5,5,4,4,1,1,3,1,1,5,5,4,4,20.062,"A",2,0,2,0,4,0,5,5,7,6,5,7,7
74824053,"Conversion MSc",6,5,80,"dog","koala",163,"No",4,4,3,4,4,NA,0,6,6,5,5,6,1,1,2,3,3,2,1,3,3,4,3,3,2,-1,2,2,3,1,3,2,1,5,3,5,-1,1,0,-1,1,6,6,4,0,6,6,6,6,6,4,2,1,1,2,1,1,2,2,1,2,1,1,3,2,2,1,3,1,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,13.362,"C",6,1,2,5,5,6,4,5,7,6,5,4,3
76275524,"Conversion MSc",2,9,50,"dog","koala",167,"Yes",4,2,5,5,3,0,NA,7,7,6,6,7,2,2,3,3,3,5,4,5,5,5,5,3,3,-1,3,1,1,0,3,3,1,6,5,4,-1,-1,1,1,1,2,6,2,2,4,1,1,1,1,5,3,5,2,5,4,5,5,5,5,5,3,5,5,2,5,2,3,3,4,5,5,5,2,3,5,5,3,3,3,5,5,4,2,5,2,5,5,5,4,4,4,3,5,5,2,5,4,2,2,4,5,53.987,"C",6,5,5,4,5,6,4,6,5,3,4,5,4
76506621,"Conversion MSc",3,4,60,"both","koala",167,"Yes",4,3,4,4,3,2,2,5,5,4,4,5,2,2,2,3,4,2,2,4,3,3,2,1,1,1,1,1,1,0,1,1,0,5,4,4,-1,1,0,1,1,2,6,2,2,4,5,3,5,4,5,4,4,2,3,1,1,2,4,1,4,4,1,3,3,4,1,3,1,2,4,3,4,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,4,2,1,1,1,1,1,1,1,24.323,"C",5,2,3,4,3,1,4,6,7,4,4,6,6
80943846,"Other Research MSc",3,6,84,"both","koala",184,"Yes",4,4,3,4,4,18,18,6,6,4,3,6,1,1,2,2,2,1,1,1,2,1,1,2,2,-1,2,1,2,0,2,1,1,5,4,4,2,2,0,2,1,4,5,4,4,4,6,6,5,5,3,4,5,4,4,5,4,4,4,4,5,4,5,4,4,4,4,2,2,3,4,3,4,2,4,4,4,4,4,4,3,4,3,3,3,3,4,5,4,3,5,4,3,4,4,2,4,2,2,4,3,4,18.793,"A",5,4,2,1,3,2,4,4,4,6,4,4,6
81443313,"Conversion MSc",2,6,70,"both","kangaroo",175,"Yes",4,4,5,3,4,3,3,3,7,7,4,7,0,0,0,4,3,1,1,2,1,3,1,3,3,1,3,2,3,3,3,3,3,5,4,5,3,3,3,3,3,5,4,5,4,2,7,7,7,7,6,2,1,1,3,1,3,1,4,1,4,1,1,2,2,3,1,1,1,1,3,4,2,1,4,5,NA,2,1,2,5,5,1,1,5,3,4,3,2,5,1,1,1,4,4,2,3,1,5,1,1,4,16.75,"A",3,2,2,0,2,1,0,5,6,3,3,2,5
82821345,"Conversion MSc",7,4,70,"neither","kangaroo",160,"No",4,3,2,3,2,0,0,5,5,1,6,6,2,2,2,2,3,2,3,1,1,2,2,1,0,-1,1,0,0,-1,1,1,-1,4,4,3,0,-1,-1,-1,-1,0,4,0,0,0,5,6,6,6,6,3,3,3,2,2,4,3,3,2,3,4,4,2,3,3,NA,2,2,3,4,2,3,1,1,3,3,1,2,1,3,3,2,1,2,1,2,3,2,1,3,2,1,1,3,3,3,2,3,3,1,4,27.929,"C",6,4,4,6,5,6,4,5,5,5,5,5,5
83182402,"Conversion MSc",2,8,95,"cat","koala",163,"No",5,4,3,4,5,0,0,7,7,7,7,7,3,2,4,4,2,1,1,4,1,5,4,3,1,-3,3,0,0,0,0,0,0,4,2,1,2,3,-3,3,3,4,0,4,0,0,6,7,4,5,7,3,2,1,3,1,1,3,5,1,5,4,3,2,4,5,1,4,1,1,4,5,4,1,1,3,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,1,3,1,1,1,14.268,"B",6,0,5,6,3,5,0,4,6,4,7,2,2
84242261,"Other Research MSc",3,1,67,"cat","koala",174,"No",5,3,5,5,2,7,8,6,6,4,4,6,1,1,3,3,3,4,3,4,1,2,1,3,3,-1,3,3,1,1,1,1,1,6,6,2,-1,0,0,1,1,3,6,4,3,0,7,7,6,6,6,1,2,1,1,1,1,4,3,1,4,3,1,2,3,3,1,3,2,1,3,1,1,2,1,1,4,1,4,1,1,2,1,1,1,2,2,1,1,2,1,2,2,1,2,2,1,1,2,2,1,3,12.107,"B",4,1,4,1,4,3,1,3,6,3,3,6,4
85515190,"Other Research MSc",3,7,70,"dog","kangaroo",170,"No",4,3,4,4,4,NA,NA,7,7,7,7,7,3,2,4,2,2,5,1,5,4,5,5,2,2,3,2,3,3,0,3,2,1,4,2,3,-2,-1,-2,-1,0,0,6,0,0,0,4,1,1,2,1,5,2,2,2,1,2,4,5,1,5,3,2,4,2,5,2,3,1,3,3,2,4,4,1,3,1,1,1,1,1,3,1,1,3,1,2,4,3,4,3,1,1,3,1,3,2,1,3,1,1,3,24.79,"C",6,2,5,2,3,6,6,5,6,6,5,6,5
85997399,"Conversion MSc",3,4,65,"dog","wombat",177,"No",4,3,4,4,3,NA,NA,7,7,6,5,7,2,2,3,2,2,2,1,1,1,3,1,1,0,0,1,-1,1,1,1,1,1,6,2,5,-3,-3,1,1,1,0,5,3,0,5,6,6,6,4,6,3,2,2,3,4,2,4,4,2,4,4,4,4,4,4,2,3,3,2,3,3,4,2,2,3,3,2,3,2,2,4,2,3,3,3,4,2,3,3,2,2,2,3,2,3,2,2,3,2,3,3,14.193,"C",5,2,3,2,4,5,4,5,5,5,5,5,5
86493744,"Conversion MSc",3,7,75,"both","koala",171,"No",3,1,1,5,2,10,15,6,6,6,4,7,2,3,4,1,3,5,4,5,5,5,5,3,3,2,3,0,0,0,3,0,0,6,5,6,0,0,0,0,0,0,0,0,0,5,4,2,2,1,2,3,3,2,3,3,3,4,4,3,4,4,4,3,4,4,3,3,1,3,3,3,5,3,1,5,1,1,1,1,1,3,1,1,3,1,1,1,4,3,1,1,1,1,1,3,1,1,2,1,1,4,26.669,"C",5,0,2,6,5,0,0,1,1,1,1,1,1
87203466,"Health MSc",5,7,76,"dog","koala",156.21,"No",3,2,1,3,2,1,1,5,5,3,3,2,2,2,4,2,2,4,2,5,4,5,1,3,1,-1,2,1,1,-3,3,3,2,2,2,2,2,3,-3,3,3,0,6,4,0,1,3,1,1,2,3,4,3,4,3,4,2,4,5,2,3,5,1,3,4,5,3,2,4,5,4,2,5,4,1,4,1,2,3,1,1,4,1,1,3,1,2,2,3,3,3,1,1,4,2,4,2,2,4,1,1,4,29.534,"A",4,0,5,5,4,4,0,8,8,8,8,8,8
87985954,"Conversion MSc",1,2,83,"dog","kangaroo",173,"No",4,3,1,4,4,6,14,1,1,1,1,1,1,2,3,3,3,4,2,4,2,1,1,3,3,-1,3,3,3,NA,3,3,NA,4,5,6,1,2,-3,2,2,6,6,0,6,6,7,7,7,7,7,2,2,3,2,4,2,2,2,3,2,2,3,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,1,1,1,2,1,2,3,2,1,1,2,2,1,1,3,2,2,2,4,2,2,2,19.643,"A",5,1,4,4,5,0,0,4,6,5,6,4,4
88116070,"Other Research MSc",4,5,70,"dog","koala",165,"No",4,2,3,3,2,0,0,7,7,7,7,7,1,1,2,2,4,1,1,2,2,3,4,3,1,1,3,0,1,0,3,1,0,4,4,4,-3,-1,0,1,1,2,6,0,0,4,2,2,1,1,1,3,3,4,3,3,2,4,4,5,4,4,4,4,1,4,3,1,3,4,3,3,5,5,2,1,1,1,2,1,1,1,1,1,1,1,1,3,2,3,1,1,1,2,2,2,1,1,2,1,1,2,20.564,"C",4,0,1,4,1,4,2,6,6,6,6,4,4
88228495,"Conversion MSc",2,5,65,"dog","echidna",181,"Yes",4,4,2,2,4,15,15,2,2,7,6,2,2,2,3,2,2,2,2,3,2,2,5,2,2,-3,3,2,2,-3,2,2,-3,5,5,2,-3,-3,-3,-3,1,6,4,0,4,6,4,2,2,2,2,3,3,4,3,2,2,3,3,2,3,2,3,3,2,3,4,2,3,4,2,2,3,3,1,3,2,2,2,1,1,2,1,2,4,3,2,4,2,2,2,1,2,2,3,3,1,2,3,2,2,2,10.706,"A",5,2,3,3,3,5,3,4,5,4,2,3,4
88901469,"Health MSc",6,4,58,"both","koala",160,"No",4,4,4,4,3,4,4,5,5,6,5,6,3,3,2,1,1,3,1,4,3,5,4,3,2,1,2,2,2,-1,2,1,-1,5,6,6,-2,2,-2,2,1,6,0,0,0,6,3,1,1,1,1,3,4,5,3,2,1,3,5,4,5,4,4,5,1,4,4,4,1,4,4,4,4,4,3,5,1,2,1,2,1,3,1,2,4,1,3,2,4,4,2,1,2,1,4,2,3,3,5,1,1,4,39.587,"A",4,1,3,4,5,2,4,2,6,2,NA,5,3
88948385,"Health MSc",6,6,62,"dog","koala",165,"Yes",4,4,4,4,4,0,4,6,6,6,6,6,2,3,3,3,3,4,2,4,4,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,1,1,1,1,1,2,4,4,4,2,3,3,3,5,5,5,4,5,5,3,4,3,5,5,5,5,5,5,3,5,3,5,5,3,4,3,5,3,2,4,2,2,2,2,5,4,2,2,2,2,2,3,5,4,2,2,2,2,2,4,4,2,5,2,2,5,10.149,"C",3,3,4,5,3,3,4,5,5,5,5,5,5
89327898,"Health MSc",7,7,82,"both","kangaroo",172,"Yes",3,4,2,4,2,20,20,6,6,7,6,7,2,4,4,3,3,2,1,4,3,5,4,3,2,1,3,1,3,-1,2,1,-1,5,4,5,-1,1,-1,1,3,0,6,1,0,6,3,2,2,2,2,4,2,4,4,2,4,5,4,2,4,2,2,4,2,2,4,5,2,2,4,4,5,2,1,1,2,1,1,1,1,1,1,1,1,4,4,2,1,1,1,1,1,1,4,4,1,1,2,1,2,3,9.45,"C",4,4,6,6,5,5,6,3,6,4,3,6,8
91786723,"Health MSc",4,4,68,"dog","kangaroo",162.56,"No",4,3,3,4,4,NA,0,6,6,7,6,6,2,2,3,3,2,4,1,4,4,3,3,1,1,-1,1,0,3,3,3,3,3,6,4,6,3,3,0,3,0,0,6,0,0,0,6,6,6,6,5,4,3,1,4,1,3,4,5,1,5,4,3,3,2,5,1,1,2,2,3,4,2,2,2,4,2,2,3,2,2,3,1,2,2,1,4,4,3,3,4,2,3,3,4,1,2,3,3,2,2,3,20.893,"C",4,0,0,6,1,5,2,4,6,5,4,6,5
91869117,"Conversion MSc",4,1,76,"dog","kangaroo",189,"No",5,4,2,2,2,4,4,6,4,4,2,2,1,0,2,2,4,1,1,1,1,1,1,3,3,0,3,2,3,-3,3,1,3,6,3,6,-3,3,-3,3,1,0,4,0,2,2,7,7,6,1,7,1,1,1,1,1,1,2,4,1,4,1,1,1,3,3,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,4,1,1,1,1,1,1,1,10.393,"C",2,0,2,0,3,3,0,4,5,7,7,8,4
91900727,"Health MSc",7,8,75,"both","koala",170,"No",3,3,4,5,3,0,NA,7,7,6,5,7,2,2,3,2,3,4,4,2,4,4,3,3,3,-3,3,3,3,3,3,3,3,6,4,4,1,1,3,3,3,6,6,2,2,6,3,5,5,4,4,4,4,2,3,5,3,3,4,2,5,5,3,5,4,4,1,2,3,3,5,4,5,3,3,3,3,2,2,2,3,2,3,2,3,3,3,3,2,4,3,2,3,2,3,3,3,3,3,3,3,3,12.344,"A",6,6,6,6,6,6,6,5,6,2,5,7,7
93737412,"Conversion MSc",3,1,75,"both","platypus",187,"Yes",5,3,4,5,2,10,10,7,3,7,7,7,2,2,2,2,2,2,2,5,2,1,1,3,1,-3,3,0,1,-3,1,1,-3,6,3,6,3,3,-3,3,1,0,6,0,0,4,7,5,1,5,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,NA,1,1,1,1,1,1,1,1,1,3,1,1,3,NA,NA,1,1,5,1,3,1,3,1,1,1,16.864,"C",1,2,0,2,1,4,1,5,5,5,5,5,5
93823613,"Health MSc",4,7,51,"dog","koala",170,"No",4,5,4,4,4,0,0,6,6,7,7,6,1,1,3,3,3,1,1,1,1,2,1,-3,1,-1,3,0,3,-1,3,0,-1,6,3,6,-2,-1,-1,1,0,4,5,2,0,4,6,5,2,3,3,2,2,3,2,4,2,5,3,1,4,4,4,3,2,3,3,3,3,3,3,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,2,1,1,1,13.823,"B",4,0,4,3,4,3,3,3,4,2,4,2,3
96521842,"Other Research MSc",6,6,70,"both","echidna",NA,"No",3,4,2,3,3,6,6,2,2,5,1,2,3,2,3,3,2,5,3,3,4,5,5,2,3,1,1,2,2,0,1,2,1,4,4,3,0,0,0,0,1,6,6,1,4,6,6,7,7,6,7,4,1,2,3,2,1,3,4,1,5,1,2,4,2,5,2,3,4,3,2,3,5,4,2,3,2,1,1,1,1,1,1,2,1,3,2,2,2,1,2,1,1,2,1,2,3,4,1,2,2,3,12.065,"C",5,3,3,6,5,1,1,3,3,2,4,2,5
97053400,"Conversion MSc",3,7,60,"cat","wombat",167,"Yes",2,2,1,4,2,0,0,3,3,5,5,3,2,3,4,2,2,3,1,1,3,5,4,3,3,0,3,-2,3,-1,1,1,-2,4,3,3,-1,-1,-2,3,1,6,6,6,6,6,5,5,5,3,5,5,5,4,5,1,2,5,5,5,4,5,1,5,3,5,3,2,5,5,4,2,5,5,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,5,3,1,1,2,5,2,1,1,5,1,1,4,76.362,"C",6,1,6,5,2,2,0,4,4,3,6,2,4
98773805,"Conversion MSc",1,4,70,"both","koala",167,"No",4,4,3,4,5,1,1,6,6,6,3,6,2,2,3,3,3,3,1,3,2,1,3,3,3,-2,3,1,1,0,3,3,0,5,4,6,-3,-1,-3,1,1,4,5,4,0,5,6,7,5,6,6,2,2,2,2,3,1,3,3,1,2,3,1,3,3,2,1,4,1,2,2,1,3,2,2,4,2,1,2,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,2,14.416,"C",5,1,1,3,3,4,0,5,5,5,5,5,5
