"student.no","program","stats.exp","stats.anx","cat.dog","aus.animal","height","video.games","pathogen1","pathogen2","pathogen3","pathogen4","pathogen5","pathogen6","pathogen7","introversion1","introversion2","introversion3","introversion4","introversion5","introversion6","introversion7","introversion8","introversion9","introversion10","introversion11","introversion12","introversion13","introversion14","introversion15","introversion16","introversion17","introversion18","pre.drink","post.drink","exercise.attitude.1","exercise.attitude.2","exercise.attitude.3","exercise.attitude.4","exercise.attitude.5","exercise.attitude.6","exercise.attitude.7","exercise.attitude.8","exercise.attitude.9","exercise.attitude.10","exercise.attitude.11","exercise.attitude.12","exercise.attitude.13","exercise.attitude.14","exercise.attitude.15","exercise.attitude.16","exercise.attitude.17","exercise.attitude.18","exercise.attitude.19","exercise.intention.1","exercise.intention.2","exercise.intention.3","exercise.intention.4","exercise.intention.5","exercise.intention.6","exercise.intention.7","exercise.intention.8","exercise.intention.9","exercise.intention.10","exercise.intention.11","exercise.control.1","exercise.control.2","exercise.control.3","exercise.norms.1","exercise.norms.2","exercise.norms.3","exercise.norms.4","exercise.norms.5","exercise.norms.6","exercise.behaviour.1","exercise.behaviour.2","exercise.behaviour.3","exercise.behaviour.4","exercise.behaviour.5","exercise.behaviour.6","exercise.behaviour.7","exercise.behaviour.8","exercise.behaviour.9","exercise.behaviour.10","exercise.behaviour.11","support.1","support.2","support.3","support.4","support.5","support.6","support.7","support.8","support.9","support.10","support.11","support.12","stress.1","stress.2","stress.3","stress.4","stress.5","stress.6","stress.7","stress.8","stress.9","stress.10","stress.11","stress.12","stress.13","stress.14","stars.1","stars.2","stars.3","stars.4","stars.5","stars.6","stars.7","stars.8","stars.9","stars.10","stars.11","stars.12","stars.13","stars.14","stars.15","stars.16","stars.17","stars.18","stars.19","stars.20","stars.21","stars.22","stars.23","stars.24","stars.25","stars.26","stars.27","stars.28","stars.29","stars.30","stars.31","stars.32","stars.33","stars.34","stars.35","stars.36","stars.37","stars.38","stars.39","stars.40","stars.41","stars.42","stars.43","stars.44","stars.45","stars.46","stars.47","stars.48","stars.49","stars.50","stars.51"
50263793,"Conversion MSc",5,1,"cat","platypus",185.351008855286,"Yes",1,5,1,2,5,4,1,4,2,3,5,2,1,1,5,5,5,4,1,2,4,2,4,4,2,28,6,2,-1,-2,-1,2,1,-1,-3,-1,-1,3,3,-3,-1,-2,-2,3,-3,0,-3,3,0,0,0,-1,2,-1,-3,-2,0,6,3,2,3,3,2,0,0,-1,6,2,6,4,3,4,3,0,3,3,6,7,1,6,7,4,5,4,2,1,2,4,4,0,2,3,0,2,1,2,1,3,0,1,2,3,1,4,1,1,3,5,4,1,2,3,3,1,3,2,3,3,3,3,1,1,3,3,3,1,4,3,1,2,1,3,5,4,5,1,2,3,4,4,1,5,5,1,3,1,2,2,1,2,4,3,3,4
75678094,"Other Research MSc",1,1,"cat","kangaroo",169.679745361934,"No",5,4,0,5,2,5,1,2,4,5,3,2,5,1,1,1,1,2,3,1,4,4,3,1,2,16,8,-1,0,-1,-3,3,3,0,3,3,-3,2,1,1,1,1,-1,-2,-3,3,3,1,-2,-1,-2,-1,-2,-2,-2,-3,2,6,5,6,1,0,1,0,3,-2,6,6,1,6,1,0,3,4,3,5,3,6,2,6,1,1,4,2,5,4,3,7,5,1,0,4,3,1,2,2,4,2,3,1,4,4,3,5,5,2,3,5,1,2,3,3,5,1,3,1,4,1,3,1,2,1,5,3,2,5,1,5,4,4,4,3,1,4,2,3,1,4,1,4,2,5,3,4,2,3,5,3,5,4,4,3,2,5
73993571,"Other Research MSc",6,7,"neither","platypus",178.880564207329,"No",5,6,4,2,2,1,6,1,1,3,5,2,3,1,2,3,2,3,2,2,1,1,5,3,1,20,26,2,1,1,1,0,3,0,-3,1,-3,0,-1,1,1,-2,3,-2,-3,-3,0,0,-1,2,0,0,0,-2,3,-1,2,3,6,6,0,3,3,-1,-3,3,4,0,6,3,6,3,5,0,2,4,1,2,6,3,7,1,7,1,2,7,3,7,7,3,3,1,2,1,2,4,0,4,3,1,4,2,1,3,3,3,2,4,3,1,1,5,2,5,5,3,2,1,1,1,3,2,4,4,4,5,2,4,1,3,4,3,1,1,4,2,2,2,4,2,1,1,3,2,3,2,5,5,1,3,2,2,3,1
52550243,"Other Research MSc",3,3,"dog","platypus",164.284112296765,"Yes",6,0,4,3,4,5,6,5,4,2,1,3,4,5,5,2,1,3,2,4,1,4,1,1,1,14,5,-2,3,0,-3,-1,-3,1,1,2,-3,3,-2,2,0,2,-1,-1,3,-3,-2,1,0,1,-2,-1,2,0,1,-3,-1,3,2,0,-1,-1,0,-1,0,-2,1,0,5,4,3,3,5,2,1,4,2,5,4,6,2,6,6,2,1,6,3,6,1,2,2,0,2,3,4,1,3,2,0,2,4,3,4,4,2,2,4,3,5,2,1,2,1,3,5,4,3,5,3,5,5,2,4,3,1,3,5,4,5,2,5,3,4,3,2,5,3,2,2,2,1,5,5,5,1,2,2,1,3,5,3,4,4,1
62532387,"Health MSc",2,8,"cat","platypus",195.616848321977,"Yes",6,6,1,1,1,3,0,1,3,1,5,5,4,2,1,2,4,5,3,4,5,4,4,3,1,26,9,1,0,3,1,-2,0,0,-1,-3,3,0,-3,-2,1,1,-2,-3,-1,1,3,3,-3,0,1,2,-2,-2,0,-3,3,2,1,1,0,2,0,0,-1,-2,3,6,3,0,5,6,1,0,2,5,3,1,2,5,1,2,7,7,4,4,5,7,4,0,4,1,2,0,3,1,2,2,4,4,0,2,1,2,5,2,1,2,2,3,4,1,3,3,1,3,2,2,5,4,1,2,4,4,2,5,2,4,4,3,3,5,3,2,5,3,4,5,5,1,3,2,2,3,4,3,3,3,5,4,5,1,4,3
10536041,"Conversion MSc",1,2,"dog","wombat",174.54745850189,"No",2,5,3,6,2,5,3,3,3,4,4,3,2,3,3,3,1,5,4,2,3,2,3,4,2,13,14,2,3,-3,-1,3,-1,-2,0,1,3,3,-2,3,3,-3,1,2,-2,3,-2,-1,1,0,2,-3,3,-1,3,-3,-2,6,2,4,0,-3,3,3,-2,3,3,0,0,6,0,0,0,2,3,2,4,6,7,5,1,7,7,5,7,1,5,6,7,2,2,3,4,4,3,3,0,2,1,4,0,4,0,3,1,5,2,4,3,4,1,1,2,1,1,4,2,2,2,2,3,1,2,4,3,3,1,5,4,1,3,1,3,1,3,5,4,3,3,2,3,1,2,1,2,1,2,5,3,2,2,1,4,3
78393244,"Other Research MSc",6,9,"both","kangaroo",172.089885672256,"No",3,5,5,5,4,0,2,3,1,4,5,2,5,4,3,4,1,2,1,1,3,1,5,3,1,21,3,1,-3,-1,-1,-2,-3,0,-1,-1,-3,2,-1,-2,1,1,3,-2,3,-1,-1,-2,-1,-3,3,2,1,-2,2,0,3,3,2,1,-3,0,3,-1,1,3,5,4,6,6,2,2,4,5,6,1,0,2,1,6,1,1,2,6,7,1,6,7,1,3,1,0,0,4,3,3,2,2,1,4,0,3,0,5,1,1,1,5,4,3,1,1,4,2,5,4,3,1,3,3,2,5,5,5,1,5,1,4,4,2,5,2,1,5,3,1,5,2,2,1,3,2,2,1,1,3,4,4,5,3,5,1,5,1
29999259,"Other Research MSc",6,2,"cat","kangaroo",176.090966607298,"No",3,3,0,5,4,0,1,2,5,4,5,1,3,4,1,1,1,5,1,1,5,2,3,5,3,14,19,-2,0,1,-1,-1,0,1,1,-1,-1,-3,1,0,2,1,-2,-2,2,3,0,-1,2,1,-1,2,3,1,-1,-1,0,6,0,2,2,-1,-1,2,-3,1,5,6,6,6,6,2,3,3,3,3,2,7,6,3,3,5,7,4,2,6,6,2,2,3,0,2,1,4,2,0,4,1,3,0,0,1,3,4,1,2,4,4,4,1,5,2,1,3,5,5,3,4,4,4,1,4,5,5,5,3,4,3,5,4,4,3,1,2,2,1,5,1,3,3,5,1,5,3,1,1,5,4,4,3,1,3,4,1
22243132,"Health MSc",1,3,"neither","echidna",183.091087869482,"No",5,2,6,3,3,4,6,5,3,3,2,5,1,5,5,4,2,5,2,3,5,3,1,4,3,30,12,-1,-1,-2,3,2,-3,-2,-3,1,-1,2,2,1,-1,3,1,-2,-3,-2,2,3,0,1,2,-3,0,1,-3,-2,-1,5,6,6,1,-2,-3,0,3,-2,1,0,3,4,5,4,4,4,2,0,3,2,6,1,4,4,5,4,7,2,5,6,2,2,1,4,4,1,4,1,3,3,4,2,4,2,3,5,1,4,3,4,2,4,4,4,2,1,4,2,5,2,5,1,2,2,4,3,5,4,4,2,5,2,1,5,4,5,2,4,5,3,2,5,5,1,4,2,2,2,2,1,5,2,3,2,4,3
19665820,"Other Research MSc",6,8,"cat","wombat",165.298018432277,"Yes",4,0,2,4,1,4,1,2,1,1,2,2,2,4,1,3,4,1,2,2,4,5,5,5,3,22,12,2,2,0,0,3,1,-2,-2,0,0,-3,0,-1,2,0,1,3,1,-1,-3,2,-3,-1,2,-1,-2,-1,3,-2,-3,2,5,5,2,-1,2,-2,-2,0,6,2,3,2,1,3,1,5,2,4,1,6,4,2,4,2,2,4,7,5,1,7,4,1,1,1,0,4,4,1,1,0,2,2,1,0,3,1,3,2,5,5,4,3,1,5,3,1,2,1,5,1,5,1,1,2,2,1,3,5,2,2,3,2,4,2,5,2,1,5,5,2,2,1,2,1,5,4,4,4,3,5,1,5,1,4,3,4
68130262,"Health MSc",4,9,"cat","wombat",179.921185123687,"No",0,2,5,1,2,6,6,5,5,1,1,1,2,5,4,3,2,5,2,4,2,2,2,1,1,14,13,2,1,-2,1,-1,-1,2,-2,0,2,-1,1,-1,-3,-2,3,3,1,2,1,3,0,2,3,1,-1,-2,-1,0,2,5,2,0,-3,-3,0,0,2,-1,6,5,4,2,4,4,2,1,4,6,2,4,2,6,6,4,5,6,5,4,5,5,3,3,0,1,3,4,2,3,2,0,2,2,4,2,2,3,3,5,4,3,5,2,4,3,3,2,3,4,5,5,4,4,5,4,5,1,5,4,2,3,1,3,4,4,1,1,4,2,5,5,4,2,2,2,3,2,1,4,5,3,2,1,1,1,2,3
28902827,"Other Research MSc",8,2,"cat","platypus",173.370889681263,"No",1,0,5,4,1,6,3,4,3,1,3,5,3,3,4,1,3,5,4,1,3,3,5,3,5,29,12,3,-3,0,-2,2,-1,-1,-3,0,2,1,-2,3,-3,1,3,-1,-1,1,-1,-1,2,0,-3,-2,2,3,0,1,3,6,6,0,1,3,0,1,2,0,3,5,3,4,5,0,1,2,6,3,4,7,4,1,5,3,6,7,5,1,7,4,2,4,3,4,0,1,4,3,3,3,1,0,2,4,0,2,5,2,3,1,2,1,5,5,5,2,2,1,5,1,4,2,2,1,3,2,1,3,5,2,4,3,3,5,5,5,3,2,3,5,1,4,4,1,1,2,2,2,3,4,5,3,4,1,2,2
91847626,"Other Research MSc",3,8,"cat","wombat",178.419988782418,"No",2,2,4,5,2,2,0,5,1,4,1,3,2,1,4,2,4,5,2,3,1,3,5,1,5,0,16,-1,2,1,-1,-1,3,2,-1,1,3,-3,3,-1,-2,-3,3,0,-3,0,-2,3,2,0,-1,3,0,2,3,-2,-1,6,3,1,1,3,3,1,-1,-1,1,2,5,4,1,3,5,1,5,2,6,3,3,1,1,5,5,6,6,4,2,3,5,1,3,4,3,2,3,4,4,1,2,0,2,3,2,4,5,1,4,1,1,4,3,3,5,3,5,3,5,5,4,4,5,3,1,1,1,5,5,5,1,5,1,5,5,4,4,2,4,4,2,1,5,4,4,1,2,4,5,5,3,2,3,1,1,3
97470023,"Health MSc",8,5,"dog","platypus",177.16132122081,"Yes",5,3,3,2,0,1,4,4,4,2,2,3,5,2,2,3,2,2,1,1,2,1,4,1,4,28,5,-3,1,2,-2,-3,-2,-3,0,-2,0,0,1,3,-3,3,-2,-2,3,-1,-1,1,1,-2,-2,-2,-1,3,-2,1,-3,0,5,0,-2,2,-2,0,2,3,2,5,0,6,4,2,2,1,1,4,1,1,1,2,5,2,2,5,1,4,4,3,2,1,3,3,0,4,0,4,3,1,4,4,4,0,1,1,2,1,4,4,1,3,2,5,2,3,4,2,3,3,5,4,2,5,1,1,2,1,3,1,5,2,4,2,1,4,2,3,4,4,4,2,4,5,1,4,5,3,4,2,3,5,1,4,3,1
43047846,"Other Research MSc",5,6,"cat","platypus",180.587688145778,"Yes",4,0,2,1,5,0,1,1,2,3,2,4,2,1,3,3,3,3,5,4,4,3,3,5,3,11,7,2,0,-2,-2,-2,-3,2,3,2,-1,-2,0,2,-1,-1,2,1,-2,-1,0,-3,-1,-1,2,-3,-1,-1,-1,0,2,6,3,4,-3,-2,2,3,-3,0,5,2,0,1,4,4,3,6,3,1,4,5,7,6,4,6,2,5,2,7,2,5,6,0,1,0,3,2,4,0,3,2,0,4,2,0,4,5,3,2,1,4,4,2,1,4,3,5,5,5,5,5,2,3,3,2,4,5,3,4,5,2,4,3,4,1,3,1,4,2,5,5,4,2,5,4,1,5,3,2,1,1,1,4,3,1,4,2
80346494,"Conversion MSc",8,1,"neither","echidna",179.778733548851,"Yes",1,3,3,6,4,4,3,2,1,3,1,1,5,4,1,5,3,1,4,5,4,2,5,1,5,21,13,-1,2,0,1,1,-3,2,1,2,-3,3,3,1,2,-2,2,3,0,-2,0,-2,1,2,2,1,3,-2,1,1,-2,3,0,2,-1,2,-3,2,-2,2,5,4,2,3,6,3,4,6,3,5,0,7,7,7,5,4,3,7,4,3,4,5,4,3,1,4,2,3,1,3,1,1,2,4,3,1,2,4,2,5,3,4,4,5,2,2,2,4,4,3,1,5,1,1,1,4,1,5,2,1,4,1,5,4,3,1,1,1,3,4,2,1,3,2,5,3,4,4,1,5,1,1,2,3,5,1,4,3
51409597,"Health MSc",6,4,"dog","koala",162.070256754997,"Yes",2,2,5,0,2,4,6,4,3,4,4,4,2,3,2,2,3,2,3,2,4,4,4,5,5,26,15,-1,-1,2,-2,1,3,2,-3,3,-3,1,0,1,1,0,-2,-3,-2,1,2,3,-1,1,-2,2,-2,1,0,2,3,2,0,0,2,0,2,-1,-1,2,0,6,3,2,6,1,2,2,2,0,2,5,4,4,3,1,1,3,4,3,4,1,5,1,1,3,3,2,1,4,4,1,1,0,2,2,0,5,1,5,1,1,5,5,5,1,2,2,1,5,1,2,5,2,5,1,2,4,2,2,1,2,5,1,2,1,2,5,3,1,5,2,4,5,2,3,3,4,4,2,4,5,5,4,3,5,5,4
14514371,"Health MSc",3,9,"cat","echidna",169.755453125232,"Yes",5,6,6,2,5,0,5,4,3,5,1,3,5,5,3,5,2,3,3,3,1,1,3,3,2,3,12,-2,-1,2,-2,0,-3,-3,0,-1,-2,-2,0,-3,2,3,-1,1,-1,-3,2,-1,0,2,0,-1,-3,3,2,0,-3,0,4,0,0,2,3,-2,1,0,1,6,4,1,3,5,1,3,1,2,4,3,5,7,5,1,7,5,7,5,2,3,6,2,4,3,4,2,1,4,1,4,3,3,4,1,1,2,2,5,2,5,4,5,4,2,3,1,5,2,3,2,5,3,4,2,1,5,5,2,5,5,3,4,4,2,5,3,1,5,5,3,3,1,3,5,5,4,4,3,5,2,2,5,2,2,4,2
84999363,"Conversion MSc",3,4,"cat","platypus",162.318704956359,"No",0,4,0,0,0,6,2,5,4,4,4,4,4,4,1,3,1,3,4,4,3,1,4,3,2,19,3,-2,-1,2,-3,1,0,3,0,0,2,-1,2,-3,0,3,0,0,0,3,2,3,-1,1,-1,-1,1,3,0,-2,1,0,2,4,-3,0,-2,0,1,-1,5,1,6,4,6,4,2,0,2,5,3,3,5,5,6,1,3,7,2,4,7,2,1,2,3,4,2,2,0,4,2,2,3,2,4,0,2,5,3,2,4,2,3,5,1,2,4,1,3,1,5,5,4,4,2,2,2,4,3,4,1,4,1,2,1,5,4,1,5,1,3,3,5,2,1,5,4,1,3,3,3,5,1,4,3,4,1,3
19044092,"Other Research MSc",9,1,"dog","koala",176.031944226989,"No",6,6,4,3,3,2,3,3,4,3,2,1,5,2,5,1,4,1,1,5,4,2,5,3,5,1,9,0,2,-2,2,-3,-3,-3,0,-3,-1,-1,-3,3,-2,3,1,-3,-2,-2,-2,0,3,-3,-2,0,3,-1,-3,-3,-1,2,5,0,-2,-2,-2,-3,1,1,2,5,0,6,6,4,3,3,6,4,5,2,3,7,7,4,2,5,2,2,1,7,5,0,2,2,1,4,0,1,4,2,2,1,1,0,4,3,2,2,5,2,5,5,2,4,2,1,3,3,3,5,5,5,5,3,4,4,1,2,3,2,4,5,5,1,4,4,2,4,4,3,5,5,5,5,5,1,3,5,4,5,5,4,1,2,2,2
91935991,"Other Research MSc",3,6,"dog","kangaroo",169.456629963084,"No",5,2,0,1,1,1,4,1,3,3,3,4,3,5,2,2,3,3,4,2,5,3,2,2,5,8,11,-2,-3,0,1,-3,0,3,2,-1,2,-3,-3,-1,-2,-2,1,-2,-3,-1,0,2,1,0,1,0,1,-1,3,1,1,4,4,5,-3,1,1,3,-3,1,2,0,3,6,4,0,0,2,6,1,1,4,4,7,4,5,7,5,2,5,6,4,3,3,0,3,2,0,2,0,4,2,4,1,1,0,4,2,5,1,5,2,4,2,1,4,2,4,1,4,1,3,5,2,4,4,5,3,3,3,3,2,4,3,3,4,1,2,3,4,5,2,5,3,3,2,5,1,3,4,2,5,2,4,3,2,5,5
56075842,"Other Research MSc",6,5,"cat","koala",178.634295367979,"Yes",1,3,1,1,2,4,1,2,1,5,1,3,3,2,4,2,5,5,4,4,1,3,2,2,2,28,23,0,0,3,0,-1,0,-2,0,3,-1,2,1,2,-3,3,-1,2,0,-2,-3,-1,0,0,0,-3,3,-2,2,3,0,0,3,6,0,1,2,-1,2,0,6,3,3,5,0,3,3,4,4,2,1,7,1,1,5,3,4,3,5,2,7,5,1,4,4,1,4,1,3,2,3,2,4,0,3,1,4,3,3,4,5,3,2,4,5,5,5,3,1,4,3,1,2,5,2,1,4,5,1,2,4,1,5,1,2,2,5,5,1,5,2,2,3,5,4,1,3,3,2,3,3,5,3,2,2,4,5,3
83890347,"Health MSc",6,1,"dog","platypus",184.929494019239,"Yes",6,6,3,2,6,6,0,1,3,3,4,3,4,1,3,1,5,2,4,5,2,3,4,2,5,27,10,-1,-2,3,-3,-2,1,0,3,0,-3,3,0,-3,1,-1,-2,-1,2,-2,-3,2,-3,-1,2,2,-1,-1,-1,-3,3,6,3,6,3,-2,0,-2,1,2,5,3,2,3,4,6,5,2,1,0,2,6,3,2,5,5,2,5,1,1,5,1,7,3,4,1,4,3,0,2,1,0,2,2,4,0,1,1,4,3,4,5,5,5,4,2,2,4,1,5,4,3,4,2,3,3,3,1,2,5,4,1,4,4,3,4,2,2,5,3,5,3,1,3,4,2,2,4,2,5,3,3,3,2,2,2,1,1
16149000,"Other Research MSc",4,7,"dog","echidna",167.074609920092,"No",0,5,3,2,0,1,2,2,2,2,3,2,3,1,5,3,4,4,4,1,1,3,3,5,1,6,1,0,3,-1,2,1,2,0,2,-3,-1,0,-1,-2,3,3,-1,2,0,2,2,3,-2,-1,1,-2,3,1,-2,1,2,1,0,2,-3,-1,-3,0,0,-1,0,3,6,0,0,6,5,3,3,1,5,2,6,7,1,3,3,6,2,5,2,3,6,3,2,0,1,1,2,2,0,4,4,3,3,1,0,3,1,3,5,1,4,2,3,2,5,1,1,5,5,3,3,2,4,2,5,4,4,5,2,2,4,5,1,5,3,1,4,5,2,2,2,4,3,5,3,5,5,3,2,3,2,4,5,3,4,3
62200989,"Health MSc",9,3,"cat","platypus",164.995964507559,"Yes",6,6,6,2,5,6,1,3,2,1,1,1,1,2,4,4,2,1,2,4,4,1,1,5,3,8,9,0,2,-3,-1,-1,0,1,1,-2,0,1,1,-1,3,1,-3,2,0,2,-2,1,0,0,0,1,-2,-1,3,3,3,5,2,6,1,3,1,-1,0,-3,1,2,4,1,0,5,5,3,3,6,2,4,6,7,5,1,5,4,2,3,6,2,1,3,2,1,1,3,2,0,2,0,1,2,2,1,0,2,3,3,3,4,4,2,3,5,3,4,1,3,4,4,3,2,5,5,3,3,2,3,5,4,1,5,5,5,1,5,3,1,2,3,3,5,2,4,1,3,1,1,2,1,4,5,5,4,5,1
23836107,"Health MSc",5,6,"neither","echidna",179.692901266568,"No",5,5,6,0,4,3,1,3,3,3,5,2,3,1,3,5,1,5,1,4,2,5,2,1,4,15,5,-3,-3,-2,0,3,-3,0,3,-1,-2,-3,3,-3,1,1,1,2,-1,-1,0,2,-1,2,-3,1,3,1,3,-2,1,2,1,3,3,-2,-1,3,0,1,3,0,0,4,6,3,3,1,2,1,4,6,1,1,1,2,3,1,7,7,2,3,7,2,3,0,1,0,2,3,4,1,4,3,0,3,1,4,1,2,4,5,3,4,2,5,2,3,1,1,5,4,1,2,5,2,2,2,3,5,1,5,4,3,5,5,3,5,3,1,4,3,2,4,2,4,5,1,4,5,1,4,4,5,4,2,2,3
49293643,"Other Research MSc",1,6,"dog","koala",178.581444063319,"Yes",0,0,6,2,6,1,2,4,4,1,5,1,5,3,3,2,4,3,4,1,2,5,5,1,1,0,4,-2,-2,1,0,3,-3,1,-3,3,1,0,3,2,1,-2,2,0,1,1,2,-1,-3,-2,3,3,3,0,3,-1,1,6,2,6,0,-2,2,-3,-1,1,5,5,0,5,5,2,1,5,5,6,4,4,1,4,6,5,1,7,7,5,5,5,7,2,0,2,0,4,4,2,0,1,2,3,1,3,2,5,5,4,3,5,1,5,1,1,1,5,3,5,1,5,5,4,1,4,4,2,4,5,1,1,2,5,1,2,5,1,4,4,4,4,2,1,5,5,1,5,3,5,4,2,5,3,4,3,3,4
